Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
431840,4318408,SÃO JERÔNIMO,RM Porto Alegre,RS,Sul,1,4.6,Brasil,21841,0.696,0.465,0.56,0.822,0.734,768.93
354940,3549409,SÃO JOAQUIM DA BARRA,n/d,SP,Sudeste,1,2.2,Brasil,46359,0.762,0.595,0.706,0.847,0.74,799.93
421670,4216701,SÃO JOSÉ DO CEDRO,n/d,SC,Sul,1,7.3,Brasil,13638,0.731,0.439,0.625,0.83,0.753,866.73
412550,4125506,SÃO JOSÉ DOS PINHAIS,RM Curitiba,PR,Sul,1,0.4,Brasil,263194,0.758,0.617,0.678,0.859,0.749,846.93
522000,5220009,SÃO JOÃO D'ALIANÇA,n/d,GO,Centro-Oeste,1,9.8,Brasil,10158,0.685,0.492,0.609,0.812,0.65,457.89
330500,3305000,SÃO JOÃO DA BARRA,n/d,RJ,Sudeste,1,3.1,Brasil,32518,0.671,0.426,0.551,0.8,0.686,570.38
431842,4318424,SÃO JOÃO DA URTIGA,n/d,RS,Sul,1,21.2,Brasil,4720,0.694,0.335,0.575,0.828,0.702,632.23
330510,3305109,SÃO JOÃO DE MERITI,RM Rio de Janeiro,RJ,Sudeste,1,0.2,Brasil,458238,0.719,0.614,0.646,0.831,0.693,597.57
412500,4125001,SÃO JOÃO DO IVAÍ,n/d,PR,Sul,1,8.8,Brasil,11396,0.693,0.401,0.611,0.803,0.677,540.31
211110,2111102,SÃO JOÃO DOS PATOS,n/d,MA,Nordeste,1,4.0,Brasil,24823,0.615,0.356,0.522,0.726,0.613,362.47
431870,4318705,SÃO LEOPOLDO,RM Porto Alegre,RS,Sul,1,0.5,Brasil,213161,0.739,0.599,0.612,0.861,0.766,939.93
261370,2613701,SÃO LOURENÇO DA MATA,n/d,PE,Nordeste,1,1.0,Brasil,102844,0.653,0.459,0.571,0.793,0.614,364.43
421690,4216909,SÃO LOURENÇO DO OESTE,n/d,SC,Sul,1,4.6,Brasil,21668,0.749,0.527,0.695,0.807,0.748,841.27
431900,4319000,SÃO MARCOS,n/d,RS,Sul,1,5.0,Brasil,20054,0.768,0.545,0.683,0.855,0.775,991.51
522020,5220207,SÃO MIGUEL DO ARAGUAIA,n/d,GO,Centro-Oeste,1,4.5,Brasil,22119,0.664,0.396,0.536,0.818,0.667,507.02
150760,1507607,SÃO MIGUEL DO GUAMÁ,n/d,PA,Norte,1,2.0,Brasil,51232,0.591,0.349,0.471,0.752,0.582,299.95
221040,2210409,SÃO MIGUEL DO TAPUIO,n/d,PI,Nordeste,1,5.5,Brasil,18130,0.556,0.24,0.434,0.78,0.508,189.01
241260,2412609,SÃO PAULO DO POTENGI,n/d,RN,Nordeste,1,6.3,Brasil,15791,0.622,0.386,0.555,0.744,0.584,303.74
